track.external_urls.spotify,track.name,track.id,key,mode,tempo,track.duration_ms,track.popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,track.uri,time_signature
https://open.spotify.com/track/0ZPfDxZn5O0L84wvPSN2iG,How Long Will I Love You - Bonus Track,0ZPfDxZn5O0L84wvPSN2iG,0,TRUE,126.078,154435,54,0.295,0.512,0.304,0.000622,0.118,-9.19,0.0318,0.172,spotify:track:0ZPfDxZn5O0L84wvPSN2iG,5
https://open.spotify.com/track/5o1mS67lEoLCeFobGIaNb2,Forever And A Day,5o1mS67lEoLCeFobGIaNb2,7,TRUE,125.06,166230,69,0.104,0.658,0.546,0.000211,0.158,-9.31,0.0318,0.289,spotify:track:5o1mS67lEoLCeFobGIaNb2,4
https://open.spotify.com/track/7oPqRSubaWcDb5F68aw3P6,The Veldt - 8 Minute Edit,7oPqRSubaWcDb5F68aw3P6,9,TRUE,128.025,520145,45,0.16,0.742,0.631,0.427,0.0685,-8.945,0.0321,0.333,spotify:track:7oPqRSubaWcDb5F68aw3P6,4
https://open.spotify.com/track/6nGhGBz7uaE1RngnIFRKep,Meli (II),6nGhGBz7uaE1RngnIFRKep,3,FALSE,126.991,417431,54,0.0376,0.489,0.92,0.665,0.25,-4.746,0.0323,0.215,spotify:track:6nGhGBz7uaE1RngnIFRKep,4
https://open.spotify.com/track/1sPXaNS4HwQl4BXlXMT4Hc,Open End Resource - Leaving Laurel Remix,1sPXaNS4HwQl4BXlXMT4Hc,2,TRUE,125.02,219240,37,0.227,0.612,0.66,0.0906,0.214,-8.24,0.0328,0.0673,spotify:track:1sPXaNS4HwQl4BXlXMT4Hc,4
https://open.spotify.com/track/3CAX47TnPqTujLIQTw8nwI,Old Pine,3CAX47TnPqTujLIQTw8nwI,5,TRUE,129.57,328506,71,0.45,0.401,0.364,0.0503,0.162,-10.836,0.033,0.224,spotify:track:3CAX47TnPqTujLIQTw8nwI,4
https://open.spotify.com/track/2edB8M0PPZCoYKm8ohDaNm,Dancing In The Shadows,2edB8M0PPZCoYKm8ohDaNm,9,TRUE,130.026,277432,43,0.00161,0.576,0.848,0.00144,0.11,-5.935,0.0333,0.532,spotify:track:2edB8M0PPZCoYKm8ohDaNm,4
https://open.spotify.com/track/4BDpHt1JrVQzaU7E6RBbXh,Flowers in Your Hair,4BDpHt1JrVQzaU7E6RBbXh,7,TRUE,127.463,109735,0,0.749,0.67,0.609,0.0000674,0.227,-10.088,0.0333,0.573,spotify:track:4BDpHt1JrVQzaU7E6RBbXh,4
https://open.spotify.com/track/2G688ift9Wa5ZcgZEPKgNl,BhÄvachakra,2G688ift9Wa5ZcgZEPKgNl,3,FALSE,129.015,211810,43,0.00261,0.667,0.681,0.0417,0.116,-6.778,0.0334,0.377,spotify:track:2G688ift9Wa5ZcgZEPKgNl,4
https://open.spotify.com/track/1nz0SvhvjKHHX8NoSUeG3P,BhÄvachakra,1nz0SvhvjKHHX8NoSUeG3P,3,FALSE,129.032,211810,0,0.00255,0.668,0.68,0.0438,0.123,-6.775,0.0335,0.385,spotify:track:1nz0SvhvjKHHX8NoSUeG3P,4
https://open.spotify.com/track/3jFnw3ndyhIOeWc3VzrMS4,I'm Not Alone - 2019 Edit,3jFnw3ndyhIOeWc3VzrMS4,11,TRUE,127.994,201313,46,0.00349,0.6,0.982,0.48,0.124,-3.921,0.0337,0.212,spotify:track:3jFnw3ndyhIOeWc3VzrMS4,4
https://open.spotify.com/track/5a8I5duAd2jiGrmRHUZ185,Role Models,5a8I5duAd2jiGrmRHUZ185,7,TRUE,125.992,259694,44,0.0282,0.705,0.531,0.0132,0.221,-8.391,0.0337,0.143,spotify:track:5a8I5duAd2jiGrmRHUZ185,4
https://open.spotify.com/track/4Bd1yNEOD5aX6NVU8eLlsa,Another Level,4Bd1yNEOD5aX6NVU8eLlsa,6,FALSE,130.001,302825,0,0.00131,0.722,0.822,0.871,0.0797,-4.606,0.0339,0.0385,spotify:track:4Bd1yNEOD5aX6NVU8eLlsa,4
https://open.spotify.com/track/4RdRa3qq0GBSKjomxrkh5K,Guns for Hands,4RdRa3qq0GBSKjomxrkh5K,1,TRUE,129.963,273335,66,0.00694,0.684,0.858,0.000167,0.0828,-4.266,0.0342,0.518,spotify:track:4RdRa3qq0GBSKjomxrkh5K,4
https://open.spotify.com/track/5QjJgPU8AJeickx34f7on6,Levels - Radio Edit,5QjJgPU8AJeickx34f7on6,1,FALSE,126.026,199903,14,0.0534,0.605,0.873,0.837,0.314,-5.938,0.0344,0.476,spotify:track:5QjJgPU8AJeickx34f7on6,4
https://open.spotify.com/track/6JtT4a0Z406dz7A2f2vGBe,Microdosing,6JtT4a0Z406dz7A2f2vGBe,6,FALSE,130.972,238167,43,0.0485,0.715,0.764,0.165,0.175,-8.232,0.0346,0.634,spotify:track:6JtT4a0Z406dz7A2f2vGBe,4
https://open.spotify.com/track/1vQ92830bxiBcIhpUj4qrn,The Veldt - Radio Edit,1vQ92830bxiBcIhpUj4qrn,9,TRUE,128.041,170059,58,0.0573,0.736,0.759,0.207,0.0778,-7.066,0.0347,0.485,spotify:track:1vQ92830bxiBcIhpUj4qrn,4
https://open.spotify.com/track/47Y0rL0NmIstJxFgVWUqVA,Valmer,47Y0rL0NmIstJxFgVWUqVA,9,FALSE,131.973,265636,18,0.00252,0.65,0.724,0.83,0.127,-9.019,0.0348,0.314,spotify:track:47Y0rL0NmIstJxFgVWUqVA,4
https://open.spotify.com/track/0UY6ggZPalSXs3ue8tVcts,Hummingbird,0UY6ggZPalSXs3ue8tVcts,8,FALSE,129.029,177786,47,0.00379,0.677,0.832,0.9,0.176,-7.606,0.035,0.678,spotify:track:0UY6ggZPalSXs3ue8tVcts,4
https://open.spotify.com/track/5XY2CyLE68jlt7nNj5ygVh,I Don't Wanna Love Somebody Else,5XY2CyLE68jlt7nNj5ygVh,5,TRUE,126.618,163960,43,0.847,0.495,0.22,0.0000014,0.0957,-11.16,0.0355,0.345,spotify:track:5XY2CyLE68jlt7nNj5ygVh,4
https://open.spotify.com/track/1WtMzxphD9Kxywql3L8VRa,By Your Side (feat. Tom Grennan) - SIDEPIECE Remix,1WtMzxphD9Kxywql3L8VRa,7,TRUE,126.026,206666,39,0.00488,0.607,0.848,0.038,0.328,-7.169,0.0355,0.575,spotify:track:1WtMzxphD9Kxywql3L8VRa,4
https://open.spotify.com/track/1YLGtZjDKyY0Qkv4QlX31b,Higher Power - ZHU Remix,1YLGtZjDKyY0Qkv4QlX31b,7,FALSE,128.016,286093,45,0.00342,0.666,0.698,0.00923,0.1,-8.235,0.0355,0.147,spotify:track:1YLGtZjDKyY0Qkv4QlX31b,4
https://open.spotify.com/track/0NMrdzOVA0mgzeCpyKjrvI,Traveller,0NMrdzOVA0mgzeCpyKjrvI,1,TRUE,125.013,250680,10,0.238,0.761,0.863,0.882,0.098,-8.177,0.0356,0.23,spotify:track:0NMrdzOVA0mgzeCpyKjrvI,4
https://open.spotify.com/track/5ECiRe4QNdVJy1GTDA1aaq,I Know You Care,5ECiRe4QNdVJy1GTDA1aaq,9,TRUE,128.776,206170,30,0.969,0.434,0.269,0,0.123,-12.382,0.0357,0.28,spotify:track:5ECiRe4QNdVJy1GTDA1aaq,3
https://open.spotify.com/track/6Xe9wT5xeZETPwtaP2ynUz,Levels - Original Version,6Xe9wT5xeZETPwtaP2ynUz,1,FALSE,125.99,338866,66,0.0297,0.602,0.834,0.887,0.34,-6.573,0.0358,0.353,spotify:track:6Xe9wT5xeZETPwtaP2ynUz,4
https://open.spotify.com/track/4ho6jJU2nbX0NbiF33i4tX,To Feel Again / Trois,4ho6jJU2nbX0NbiF33i4tX,4,TRUE,130,293489,49,0.00335,0.496,0.873,0.896,0.099,-7.547,0.0362,0.0458,spotify:track:4ho6jJU2nbX0NbiF33i4tX,4
https://open.spotify.com/track/5cbpoIu3YjoOwbBDGUEp3P,Car Radio,5cbpoIu3YjoOwbBDGUEp3P,9,FALSE,129.972,267720,73,0.098,0.766,0.519,0,0.0855,-7.355,0.0366,0.612,spotify:track:5cbpoIu3YjoOwbBDGUEp3P,4
https://open.spotify.com/track/3mfuJMGEw0iyazvK9PaqLQ,Music Is My Life (feat. Unlimited Touch),3mfuJMGEw0iyazvK9PaqLQ,5,FALSE,125.026,390277,27,0.0255,0.839,0.559,0.0595,0.0651,-9.467,0.037,0.588,spotify:track:3mfuJMGEw0iyazvK9PaqLQ,4
https://open.spotify.com/track/2xxKJgIpgiancRpSup5dHU,Never Come Back,2xxKJgIpgiancRpSup5dHU,5,TRUE,127.991,305480,50,0.407,0.781,0.709,0.603,0.0683,-8.331,0.0371,0.651,spotify:track:2xxKJgIpgiancRpSup5dHU,4
https://open.spotify.com/track/31NiyZrUd1r4icY7xkvnWv,Strobe,31NiyZrUd1r4icY7xkvnWv,8,FALSE,128.01,633186,50,0.013,0.433,0.444,0.856,0.121,-9.911,0.0372,0.0356,spotify:track:31NiyZrUd1r4icY7xkvnWv,4
https://open.spotify.com/track/5FzuDFYmUFcvjraadJXv28,I Feel It,5FzuDFYmUFcvjraadJXv28,6,TRUE,125.967,155250,59,0.00411,0.566,0.954,0.0257,0.0943,-4.678,0.0376,0.887,spotify:track:5FzuDFYmUFcvjraadJXv28,4
https://open.spotify.com/track/0bWtmYrWat7IWlpx3rmuwc,Sleeping In - Remastered,0bWtmYrWat7IWlpx3rmuwc,0,TRUE,129.004,261093,50,0.288,0.702,0.68,0.000414,0.145,-5.746,0.0376,0.538,spotify:track:0bWtmYrWat7IWlpx3rmuwc,4
https://open.spotify.com/track/3nEHrvNNtgLv9rneTAYVr4,Heaven Takes You Home (feat. Connie Constance),3nEHrvNNtgLv9rneTAYVr4,0,FALSE,125.037,214071,81,0.0124,0.665,0.738,0.00598,0.0923,-5.931,0.0379,0.0389,spotify:track:3nEHrvNNtgLv9rneTAYVr4,4
https://open.spotify.com/track/6GAnWvSZHOFIIrAcESRh6a,Your Sound,6GAnWvSZHOFIIrAcESRh6a,2,TRUE,125.007,424170,8,0.689,0.734,0.899,0.392,0.101,-7.517,0.0379,0.375,spotify:track:6GAnWvSZHOFIIrAcESRh6a,4
https://open.spotify.com/track/3FIb81xI76x7pGPbFbzZXu,WANT NEED LOVE,3FIb81xI76x7pGPbFbzZXu,8,TRUE,126.873,241889,51,0.000823,0.429,0.683,0.00342,0.0801,-7.297,0.038,0.0536,spotify:track:3FIb81xI76x7pGPbFbzZXu,4
